Bug ID,Bug title,Severity,Priority,Status,Assignee,Page/Feature,Reproducibility,Environment,Reported at,Reporter,Category,Git branch ID,Date fixed,Screenshot,Notes,Expected result,Actual result,Steps to reproduce
KYPRO-76,Invite link immediately redirects unauthenticated users to homepage,Critical,Critical,New,Ashok,Invite join page (/join),Always,http://pro.kyozo.com,"April 15, 2026 1:57 PM",Anastasia Starko,Functional,,,,,"Unauthenticated user sees the join form, fills in their details, and successfully joins the community.",The join page flashes briefly then the user is immediately redirected to the Kyozo homepage. New members cannot accept the invite or join the community.,"1. Admin sends a WhatsApp or email invite from Audience > Invite Member.
2. Recipient opens the invite link while not logged in.
3. Observe page behaviour."
KYPRO-78,Private community toggle has no effect — community always created as Public,High,High,New,Ashok,Community Creation,Always,http://pro.kyozo.com,"April 16, 2026 2:17 PM",,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-16_at_1.58.18_PM.png, Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-16_at_2.17.03_PM.png",Confirmed via screenshots: a community named 'test private community' (created with toggle ON) displays the same 'Public' badge as 'test public community' (created with toggle OFF). The toggle UI renders correctly but the value is not being passed through on creation.,Community is created as Private when the 'Private community' toggle is enabled,Community is always created as Public regardless of the toggle state. The toggle appears to have no effect on the community's visibility setting.,"1. Navigate to the community creation page
2. Enable the 'Private community' toggle
3. Fill in the community name and any required fields
4. Submit / create the community
5. View the newly created community"
KYPRO-74,"Bulk CSV import extremely slow — ~17 min for 1,001 rows (sequential API calls)",High,High,New,Ashok,Integrations > Import > CSV File,Always,Production,"April 14, 2026 3:19 PM",Anastasia Starko,Performance,,,,"Progress indicator UI works correctly (spinner + % counter + 'do not close' message). Test was aborted after ~25 seconds at 2% to avoid polluting test data. A small number of rows (User141, User142) were partially imported before cancellation. Root cause is likely N+1 API calls instead of a batch endpoint.",Import completes within a few seconds using batch API calls; progress bar advances quickly to 100%,"Progress bar advances approximately 1% per 10 seconds, projecting ~17 minutes total for 1,001 records. The importer appears to be making one sequential API call per contact rather than batching.","1. Go to a community's Audience tab on http://pro.kyozo.com
2. Click Import Members → CSV File
3. Upload a CSV with 1,001 rows of valid name/email data
4. Click ""Import 1001 Members""
5. Observe the progress bar"
KYPRO-70,Eventbrite import creates duplicate audience entries for attendees with multiple ticket types,High,High,New,Ashok,Audience / Eventbrite Import,Always,Production,"April 9, 2026 6:42 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/image.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%201.png","Confirmed during happy path testing of Eventbrite import on community t1. Duplicates observed: mailto:testuser9@gmail.com (x2), mailto:testuser11@gmail.com (x2), mailto:testuser2@gmail.com (x2). The ticket type is stored in the Notes column in the preview — deduplication by email with merged notes would be the expected behaviour.

Follow-up check on member profiles confirmed each duplicate Audience row results in a separate community membership record. The 'Communities' stat on each affected profile shows 2, with 'Member of 2 Communities' listing t1 @t1 twice. This elevates the bug to Critical — duplicate memberships cause real data integrity issues beyond cosmetic duplication.","Each unique attendee (identified by email address) should appear as a single audience entry. If they purchased multiple ticket types, this could be represented via tags or notes, but they should not be duplicated as separate members.","Attendees who purchased multiple ticket types are imported as separate, duplicate audience entries — one per ticket type. For example, an attendee registered for both 'General Admission' and 'Second category' appears twice in the audience with the same name and email. In a test with 16 Eventbrite rows (13 unique attendees), all 16 rows were imported, resulting in 3 duplicate audience entries.

Further investigation confirmed the impact goes beyond the Audience list view: each duplicate row creates a genuine duplicate community membership. Affected profiles (testuser2, testuser9, testuser11) all show 'Member of 2 Communities' — both entries being the exact same community (t1 @t1). This means duplicated users will receive broadcasts twice, count twice in member stats, and appear twice in guestlists.","1. In http://pro.kyozo.com, open a community and click Import Members.
2. Select Eventbrite and enter a valid Private API Token.
3. Click Load Events and select an event that has at least one attendee registered under multiple ticket types.
4. Click Fetch Attendees — observe the preview table shows the same attendee (same name + email) on multiple rows, one per ticket type.
5. Click Import 16 Members.
6. After import completes, check the Audience list."
KYPRO-62,"TSV import — tab delimiter not recognised, all row data repeated in every column",High,High,New,Ashok,Audience → Automatically Integrate → CSV / TSV importer (Preview step),Always,Production — http://pro.kyozo.com,"April 8, 2026 2:40 PM",Anastasia Starko,Functional,,,,"Test file had a proper header row (Name, Email, Phone, Tags) and three data rows, all tab-separated. The importer appears to only handle comma delimiters and does not parse TSV files despite advertising .tsv support. The import does not fail gracefully — it silently saves malformed records to the database. Confirmed by inspecting the audience list post-import: Diana Prince, Ethan Hunt, and Fiona Green all have their full concatenated row string stored as name, email, and tag. Severity kept at High (no Critical option) but this warrants urgent attention.","Each contact's fields are displayed in the correct columns: Name → NAME, Email → EMAIL, Phone → PHONE, Tags → TAGS","Tab delimiter is not recognised. Every column (NAME, EMAIL, PHONE, TAGS) shows all four fields of the row concatenated as a multi-line block in the preview. If the user proceeds to import, the corrupted data is saved to the database: each contact's Name, Email, and Tags fields all receive the full concatenated row string (e.g. name = 'Diana Prince mailto:diana@example.com +15550103 vip', email = 'Diana Prince mailto:diana@example.com +15550103 vip', tag = 'Diana Prince mailto:diana@example.com +15550103 vip'). The Phone field is left empty. Results in completely unusable audience records with no warning shown to the user.","1. Open the Audience page of a freshly-created community
2. Click 'Automatically Integrate'
3. Choose 'CSV File (.csv / .tsv)'
4. Upload a valid .tsv file whose columns are Name, Email, Phone, Tags separated by tab characters
5. Click Next and inspect the Preview screen"
KYPRO-60,Custom Handle slug not auto-generated from Community Name for any input,High,High,New,Ashok,Create Community – Step 1 (Basic Info),Always,http://pro.kyozo.com – Chrome,"April 7, 2026 6:12 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.39.45_PM.png,"Initially suspected to be a non-Latin character issue (Cyrillic / special chars). Re-tested with a real user typing plain Latin text (""Hello World"") — the slug still did not auto-generate. The auto-generation is broken for all inputs. The field stays empty with no error or warning, and the form allows proceeding to Step 2 with no handle. When the handle is empty, the backend falls back to using the raw community name verbatim as the URL slug (see KYPRO-61).","The Custom Handle should auto-populate with a URL-safe slug derived from the community name (e.g. ""Hello World"" → ""hello-world"")","The Custom Handle field remains empty for all tested inputs. The URL hint stays as ""http://pro.kyozo.com/your-handle"" with no generated slug. No error or warning is shown and the form proceeds to Step 2 with an empty handle.","1. Open Create Community modal (fresh)
2. Type any community name in the Community Name field (tested with Latin ""Hello World"", Cyrillic ""клавдий тестирует"", and all-special-chars ""!@#$%^&*()"")
3. Tab or click away to another field
4. Observe the Custom Handle field and the URL hint below it"
KYPRO-61,"Community with raw-name URL slug is inaccessible after creation — crash or ""Community not found"" depending on character type",High,High,New,Ashok,Create Community / Communities list,Always,http://pro.kyozo.com – Chrome,"April 7, 2026 6:12 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.34.19_PM.png, Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.37.12_PM.png, Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_6.37.25_PM.png","Three distinct failure modes observed:

1. NON-LATIN UNICODE (Cyrillic, Chinese — likely all Unicode scripts):
   Examples: ""клавдий тестирует"" → /клавдий-тестирует, ""你好"" → /你好
   Browser navigates to percent-encoded URL (e.g. /%E4%BD%A0%E5%A5%BD)
   Result: no crash, sidebar shell loads with community name visible, but main content shows ""Community not found""
   Community is inaccessible

2. SPECIAL CHARACTERS containing URI-breaking chars (%, #, ?, etc.):
   Example: ""!@#$%^&*()+=[]{}|;':"""",./<>?`~""
   Result: full app crash — ""Application error: a client-side exception""
   Console: URIError: URI malformed at decodeURIComponent
   App must be manually reloaded

3. PARTIAL SPECIAL CHARACTERS (chars that don’t break URI parsing):
   Examples: ""test-new!"", ""[test-:)]""
   These navigate without crashing but communities may still be inaccessible

Root cause: empty handle (see KYPRO-60) causes backend to store raw community name as slug. Pattern is consistent across all tested non-Latin scripts.","The community should either not be created with an invalid URL, or a safe fallback slug should be used. Navigating to the community should work without errors","The backend saves the raw community name verbatim as the URL slug (e.g. href=""/!@#$%^&*()+=[]{}|;':"",.<>?/`~""). Clicking the community card triggers a full application crash: ""Application error: a client-side exception has occurred"" with console error: URIError: URI malformed at decodeURIComponent","1. Create a community whose name contains only characters that produce an empty URL slug (e.g. ""!@#$%^&*()+=[]{}|;':"",.<>?/`~"" or Cyrillic text)
2. Community is created successfully (see KYPRO-60)
3. Click on the community card from the Communities list"
KYPRO-59,Background image upload fails silently during Create Community — image not applied,High,High,New,Ashok,Create Community – Step 2 (Customization),Always,http://pro.kyozo.com – Chrome,"April 7, 2026 5:31 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/kypro59_1.mov,"File tested: ~7.5MB jpg image, within the stated 10MB limit. An error message appeared indicating the image could not be loaded. The form allowed the user to proceed and the community was created, but the background image was not saved. The community header shows a plain grey gradient instead of the uploaded image.",Background image uploads successfully and is displayed in the community header banner,"An error message appears when uploading the background image. Despite the error, the form allows the user to continue and the community is created, but the background image is not saved — the header shows a plain grey gradient instead","1. Open Create Community modal
2. Complete Step 1 (Basic Info) and click Next
3. On Step 2 (Customization), upload a background image within the 10MB limit (tested with ~7.5MB)
4. Observe the error message
5. Proceed and click Finish
6. Open the created community"
KYPRO-58,Plan limit reached error only shown after user completes the full 2-step Create Community form,High,High,New,Ashok,Create Community flow (Step 2 – Customization),Always,http://pro.kyozo.com – Chrome,"April 7, 2026 5:18 PM",Anastasia Starko,UX,,,Kyozo%20Pro%20QA%20Bug%20Tracker/Screen_Recording_2026-04-07_at_5.14.31_PM.mov,"Reproducible when plan limit of 5 communities is reached. System should detect the plan limit before the modal opens, not after the user fills both steps.","The system should detect the plan limit before the user starts the flow — either by disabling the Create Community button with a tooltip, or showing a blocking message when the modal opens","A toast ""Plan Limit Reached – You've reached your plan limit of 5 communities. Upgrade your plan to create more."" only appears after the user fills out both steps and clicks Finish, wasting significant user effort","1. Have an account that has reached the plan limit (5 communities)
2. Click the Create Community button on the Communities page
3. Fill out all fields in Step 1 (Basic Info) and click Next
4. Fill out fields in Step 2 (Customization) and click Finish"
KYPRO-54,Password reset link from http://pro.kyozo.com redirects to http://www.kyozo.com (member-facing app) instead of the admin panel,High,High,New,Ashok,Login / Forgot Password,Always,"Chrome (desktop), http://pro.kyozo.com","April 7, 2026 2:45 PM",Anastasia Starko,Functional,,,https://www.loom.com/share/5343b72852744e489aba20a6ef76f48a,The reset link URL observed: https://www.kyozo.com/reset-password?mode=resetPassword&oobCode=...&lang=en. The mismatch between http://pro.kyozo.com and http://www.kyozo.com means the reset flow sends admins to the wrong application entirely.,The reset link should open a password reset form on http://pro.kyozo.com (the admin panel),"The reset link redirects to http://www.kyozo.com (the member-facing frontend) at the path /reset-password. The page title shown is 'Willer - Welcome to the http://Willer.fm community', indicating a community member page rather than an admin password reset form. Admins/owners initiated the reset from http://pro.kyozo.com and should be returned there.","1. Go to http://pro.kyozo.com and click Sign In
2. Click 'Forgot password?' and enter mailto:ana@kyozo.com
3. Click 'Send reset link'
4. Open the password reset email and click the reset link"
