Bug ID,Actual result,Assignee,Bug title,Category,Date fixed,Environment,Expected result,Git branch ID,Notes,Page/Feature,Priority,Reported at,Reporter,Reproducibility,Screenshot,Severity,Status,Steps to reproduce
KYPRO-2,"The button text toggles to ""Show Less"" but the tag list remains unchanged — no new tags appear.",Ashok,"Communities – ""Show More (8+)"" tag button reveals no additional tags",Functional,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",At least 8 additional tags appear in the filter bar after clicking Show More.,,"Badge correctly shows ""(8+)"" indicating hidden tags exist. Toggle state changes but DOM tag list does not expand. Suspect Show More handler is not wired to expand logic.",Communities / Tag Filter,Medium,"March 25, 2026 6:49 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2032.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2033.png",Medium,New,"1. Navigate to https://pro.kyozo.com/communities
2. Wait for page to fully load
3. Click the ""Show More (8+)"" button below the tag filter row"
K̶Y̶P̶R̶O̶-̶4̶,"The ""March 25"" community displays a Shutterstock watermarked image with visible text ""http://shutterstock.com · 2557094469"". Watermark is visible in all three view modes.",Ashok,"Communities – Watermarked Shutterstock image displayed as ""March 25"" community cover",Content,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",Community cover images use properly licensed or original assets with no third-party watermarks.,,"upd: test community, to need to fix
Potential copyright/licensing issue. Image ID 2557094469. Community owner should replace with a licensed image. Watermark renders below circular crop in avatar view but remains readable.",Communities / Community Card,High,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2030.png,High,Won't fix,"1. Navigate to https://pro.kyozo.com/communities
2. Wait for page to fully load
3. Observe the ""March 25"" community card in grid, list, or avatar view"
KYPRO-11,View resets to the default grid (card) view on every page load regardless of the user's previous selection.,Ashok,Communities – Selected view mode not persisted after navigating away and back,UX,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",The previously selected view (avatar/circle) is restored when returning to the Communities page.,,View preference should be persisted in localStorage or user preferences. Minor but recurring friction for users who prefer non-default views.,Communities / View Toggle,Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2024.png,Low,New,"1. Navigate to https://pro.kyozo.com/communities
2. Switch from default grid view to avatar/circle view using the third toggle button
3. Click into any community card to open it
4. Navigate back to https://pro.kyozo.com/communities"
KYPRO-7,"Toast renders at bottom-right of the page behind/beneath the modal overlay, making it partially or fully unreadable. The inline ""Community name is required"" error below the field does appear correctly.",Ashok,Create Community – Validation error toast is clipped behind the modal overlay,UI,,"Chrome (latest), Ubuntu 22, Desktop 1502x818","Validation toast (""Required Field – Please enter a community name"") appears fully visible above the modal backdrop.",,Toast z-index is lower than the modal backdrop z-index. Fix: render toasts in a portal at top of DOM stack above the modal layer. Also consider removing the toast and relying solely on inline error to avoid duplicate messaging.,Create Community Dialog / Step 1 Validation,Medium,"March 25, 2026 6:50 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to https://pro.kyozo.com/communities
2. Click ""+ Create Community""
3. Without filling in any fields, click the ""Next"" button
4. Observe the bottom-right corner of the screen"
KYPRO-12,No tooltip or additional information appears on hover. User must switch to list view to see all tags.,Ashok,"Communities – ""+1"" tag overflow badge shows no tooltip revealing hidden tag names",UX,,"Chrome (latest), Ubuntu 22, Desktop 1502x818","A tooltip or popover appears showing the name(s) of the hidden tag(s) (e.g., ""gotomarket"").",,"Adding a title attribute or tooltip component to the overflow badge would resolve this. User must switch views to discover hidden tags, which is poor discoverability.",Communities / Community Card Tags,Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2023.png,Low,New,"1. Navigate to https://pro.kyozo.com/communities in grid view
2. Locate a community card with a ""+1"" overflow tag badge (e.g., ""Ashok@Kyozo"": code, innovate, speed, +1)
3. Hover over the ""+1"" badge"
KYPRO-6,"Both the label (""Description"", ""Tagline"") and placeholder text (""Describe what your community is about..."", ""Your motto or mission statement"") render at the same position, visually overlapping and becoming illegible.",Ashok,Create Community – Label and placeholder text overlap in Description and Tagline fields,UI,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",Either a floating label above the field OR placeholder text inside the field — not both simultaneously.,,Floating label animation works correctly once text is entered. Bug is only in the initial empty/unfocused state. Affects Description and Tagline fields only; Community Name and Custom Handle fields appear correctly. Likely label CSS transform/translate-Y is set to 0 instead of shifting down.,Create Community Dialog / Step 1 Basic Info,Medium,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2027.png,Medium,New,"1. Navigate to https://pro.kyozo.com/communities
2. Click ""+ Create Community""
3. Observe Description and Tagline textarea fields in default empty/unfocused state"
KYPRO-9,"Modal closes silently and the new community appears in the list with no feedback. The ""Saving..."" loading state does appear on the button during submission.",Ashok,Create Community – No success notification shown after community creation completes,UX,,"Chrome (latest), Ubuntu 22, Desktop 1502x818","A success toast or confirmation (e.g., ""Community created successfully!"") appears confirming the operation.",,Low severity since the community visibly appears in the list. A simple success toast would resolve this and follow standard UX practice.,Create Community Dialog / Post-creation,Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,,Low,New,"1. Navigate to https://pro.kyozo.com/communities
2. Click ""+ Create Community"", fill in Community Name, proceed through Step 2
3. Click ""Finish""
4. Observe the page after the modal closes"
KYPRO-3,"Both ""UAT"" and ""uat"" appear as separate distinct tags in the filter bar, occupying two slots.",Ashok,"Communities – Tag filter treats ""UAT"" and ""uat"" as separate tags",Functional,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",Tags with the same name regardless of case are normalised and shown as one entry.,,Tags are stored with the casing provided at creation time and compared case-sensitively. Fix should normalise tag casing on write or on read.,Communities / Tag Filter,Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2031.png,Low,New,"1. Navigate to https://pro.kyozo.com/communities
2. Wait for page to fully load
3. Observe the tag filter bar — note both ""UAT"" and ""uat"" are listed as separate tags"
KYPRO-5,A reddish/pink border glow appears around the entire main content container after clicking Show More. Persists through Show Less clicks in grid view; disappears in list view and reappears when switching back to grid.,Ashok,Communities – Red/pink border glow persists on content container in grid view after Show More click,UI,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",No change to the content container's border or visual appearance after clicking Show More.,,Likely a CSS :focus or :active state leaking onto the parent container when Show More is clicked. Specific to grid view layout. Container is incorrectly retaining a focus/error style.,Communities / Tag Filter + Grid View,Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2028.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2029.png",Low,New,"1. Navigate to https://pro.kyozo.com/communities (grid view)
2. Wait for page to fully load
3. Click ""Show More (8+)"" button
4. Observe outer border of main content container"
KYPRO-10,"The placeholder icon renders at the bottom of the card image area, leaving a large empty beige space in the top ~60% of the image area. Reproducible with the ""QA Test Community"" created during this session.",Ashok,Communities – Default placeholder icon bottom-aligned instead of centered in card image area,UI,,"Chrome (latest), Ubuntu 22, Desktop 1502x818",The placeholder community icon is vertically and horizontally centred within the card image area.,,Likely a CSS alignment issue: the icon container may use align-items: flex-end or a bottom offset instead of align-items: center + justify-content: center. Only affects cards with no uploaded cover image.,Communities / Community Card (Grid View),Low,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2025.png,Low,New,"1. Create a new community without uploading a background/cover image
2. Navigate to https://pro.kyozo.com/communities in grid view
3. Observe the card for the community without a cover image"
